protein	gene	uniprot	version	panel	sumstat_dir	chr	tss	gene_start	gene_end	strand	gene_id	annotation_matches	annotation_status	resource_source
OID20511	PSPN	O60542	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PSPN_O60542_OID20511_v1_Inflammation	19	6379058	6375148	6379058	-1	ENSG00000125650	1	unique_match	UKBB_EUR
OID20512	ALDH3A1	P30838	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ALDH3A1_P30838_OID20512_v1_Inflammation	17	19748943	19737984	19748943	-1	ENSG00000108602	1	unique_match	UKBB_EUR
OID20513	BCL2L11	O43521-2	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/BCL2L11_O43521-2_OID20513_v1_Inflammation	2	111119378	111119378	111168447	1	ENSG00000153094	2	multi_match_first	UKBB_EUR
OID20514	SH2D1A	O60880	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SH2D1A_O60880_OID20514_v1_Inflammation	23	124227868	124227868	124373197	1	ENSG00000183918	2	multi_match_first	UKBB_EUR
OID20515	FOXO1	Q12778	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/FOXO1_Q12778_OID20515_v1_Inflammation	13	40666597	40469953	40666597	-1	ENSG00000150907	1	unique_match	UKBB_EUR
OID20516	VASH1	Q7L8A9	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/VASH1_Q7L8A9_OID20516_v1_Inflammation	14	76762189	76762189	76783015	1	ENSG00000071246	1	unique_match	UKBB_EUR
OID20517	BID	P55957	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/BID_P55957_OID20517_v1_Inflammation	22	17774770	17734138	17774770	-1	ENSG00000015475	1	unique_match	UKBB_EUR
OID20519	METAP1D	Q6UB28	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/METAP1D_Q6UB28_OID20519_v1_Inflammation	2	171999583	171999583	172082430	1	ENSG00000172878	1	unique_match	UKBB_EUR
OID20520	HLA-DRA	P01903	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/HLA-DRA_P01903_OID20520_v1_Inflammation	6	32439842	32439842	32445046	1	ENSG00000204287	1	unique_match	UKBB_EUR
OID20521	TBC1D5	Q92609	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TBC1D5_Q92609_OID20521_v1_Inflammation	3	18444817	17157162	18444817	-1	ENSG00000131374	1	unique_match	UKBB_EUR
OID20522	EPO	P01588	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/EPO_P01588_OID20522_v1_Inflammation	7	100720800	100720800	100723700	1	ENSG00000130427	1	unique_match	UKBB_EUR
OID20523	CCL7	P80098	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CCL7_P80098_OID20523_v1_Inflammation	17	34270221	34270221	34272242	1	ENSG00000108688	1	unique_match	UKBB_EUR
OID20524	DAPP1	Q9UN19	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/DAPP1_Q9UN19_OID20524_v1_Inflammation	4	99816833	99816833	99870154	1	ENSG00000070190	1	unique_match	UKBB_EUR
OID20525	EDAR	Q9UNE0	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/EDAR_Q9UNE0_OID20525_v1_Inflammation	2	108989372	108894471	108989372	-1	ENSG00000135960	1	unique_match	UKBB_EUR
OID20526	TRIM5	Q9C035	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TRIM5_Q9C035_OID20526_v1_Inflammation	11	5938619	5663557	5938619	-1	ENSG00000132256	1	unique_match	UKBB_EUR
OID20527	DPP10	Q8N608	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/DPP10_Q8N608_OID20527_v1_Inflammation	2	114442299	114442299	115845752	1	ENSG00000175497	1	unique_match	UKBB_EUR
OID20528	ITGA6	P23229	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ITGA6_P23229_OID20528_v1_Inflammation	2	172427354	172427354	172506282	1	ENSG00000091409	1	unique_match	UKBB_EUR
OID20529	FCRL6	Q6DN72	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/FCRL6_Q6DN72_OID20529_v1_Inflammation	1	159800511	159800511	159816251	1	ENSG00000181036	1	unique_match	UKBB_EUR
OID20530	LSP1	P33241	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/LSP1_P33241_OID20530_v1_Inflammation	11	1852970	1852970	1892267	1	ENSG00000130592	1	unique_match	UKBB_EUR
OID20531	STX8	Q9UNK0	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/STX8_Q9UNK0_OID20531_v1_Inflammation	17	9576591	9250471	9576591	-1	ENSG00000170310	1	unique_match	UKBB_EUR
OID20532	HLA-E	P13747	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/HLA-E_P13747_OID20532_v1_Inflammation	6	30489467	30489467	30494205	1	ENSG00000204592	1	unique_match	UKBB_EUR
OID20533	TRIM21	P19474	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TRIM21_P19474_OID20533_v1_Inflammation	11	4393696	4384897	4393696	-1	ENSG00000132109	1	unique_match	UKBB_EUR
OID20534	PSIP1	O75475	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PSIP1_O75475_OID20534_v1_Inflammation	9	15511019	15464066	15511019	-1	ENSG00000164985	1	unique_match	UKBB_EUR
OID20535	IL7	P13232	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL7_P13232_OID20535_v1_Inflammation	8	78805523	78675743	78805523	-1	ENSG00000104432	1	unique_match	UKBB_EUR
OID20536	SAMD9L	Q8IVG5	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SAMD9L_Q8IVG5_OID20536_v1_Inflammation	7	93148369	93130055	93148369	-1	ENSG00000177409	1	unique_match	UKBB_EUR
OID20537	SIGLEC10	Q96LC7	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SIGLEC10_Q96LC7_OID20537_v1_Inflammation	19	51417803	51410021	51417803	-1	ENSG00000142512	1	unique_match	UKBB_EUR
OID20538	ISM1	B1AKI9	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ISM1_B1AKI9_OID20538_v1_Inflammation	20	13221771	13221771	13300651	1	ENSG00000101230	1	unique_match	UKBB_EUR
OID20539	SLC39A5	Q6ZMH5	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SLC39A5_Q6ZMH5_OID20539_v1_Inflammation	12	56230049	56230049	56237846	1	ENSG00000139540	1	unique_match	UKBB_EUR
OID20540	BTN3A2	P78410	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/BTN3A2_P78410_OID20540_v1_Inflammation	6	26365159	26365159	26378320	1	ENSG00000186470	1	unique_match	UKBB_EUR
OID20541	MLN	P12872	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/MLN_P12872_OID20541_v1_Inflammation	6	33804011	33794673	33804011	-1	ENSG00000096395	1	unique_match	UKBB_EUR
OID20542	SCRN1	Q12765	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SCRN1_Q12765_OID20542_v1_Inflammation	7	29990289	29920103	29990289	-1	ENSG00000136193	1	unique_match	UKBB_EUR
OID20543	PROK1	P58294	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PROK1_P58294_OID20543_v1_Inflammation	1	110451200	110451200	110457354	1	ENSG00000143125	1	unique_match	UKBB_EUR
OID20544	IKBKG	Q9Y6K9	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IKBKG_Q9Y6K9_OID20544_v1_Inflammation	23	154541199	154541199	154565046	1	ENSG00000269335	2	multi_match_first	UKBB_EUR
OID20545	NFATC1	O95644	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NFATC1_O95644_OID20545_v1_Inflammation	18	79395856	79395856	79529325	1	ENSG00000131196	1	unique_match	UKBB_EUR
OID20546	CCL26	Q9Y258	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CCL26_Q9Y258_OID20546_v1_Inflammation	7	75789896	75769533	75789896	-1	ENSG00000006606	1	unique_match	UKBB_EUR
OID20547	CLEC4C	Q8WTT0	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CLEC4C_Q8WTT0_OID20547_v1_Inflammation	12	7751605	7729415	7751605	-1	ENSG00000198178	1	unique_match	UKBB_EUR
OID20548	CEACAM21	Q3KPI0	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CEACAM21_Q3KPI0_OID20548_v1_Inflammation	19	41549518	41549518	41586844	1	ENSG00000007129	1	unique_match	UKBB_EUR
OID20549	PSMG3	Q9BT73	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PSMG3_Q9BT73_OID20549_v1_Inflammation	7	1571005	1567330	1571005	-1	ENSG00000157778	1	unique_match	UKBB_EUR
OID20550	COL9A1	P20849	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/COL9A1_P20849_OID20550_v1_Inflammation	6	70303083	70215061	70303083	-1	ENSG00000112280	1	unique_match	UKBB_EUR
OID20551	GOPC	Q9HD26	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/GOPC_Q9HD26_OID20551_v1_Inflammation	6	117602542	117560269	117602542	-1	ENSG00000047932	1	unique_match	UKBB_EUR
OID20552	MAP2K6	P52564	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/MAP2K6_P52564_OID20552_v1_Inflammation	17	69414698	69414698	69543331	1	ENSG00000108984	1	unique_match	UKBB_EUR
OID20553	NT5C3A	Q9H0P0	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NT5C3A_Q9H0P0_OID20553_v1_Inflammation	7	33062797	33014114	33062797	-1	ENSG00000122643	1	unique_match	UKBB_EUR
OID20554	ARHGEF12	Q9NZN5	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ARHGEF12_Q9NZN5_OID20554_v1_Inflammation	11	120336914	120336914	120489936	1	ENSG00000196914	1	unique_match	UKBB_EUR
OID20555	CASP2	P42575	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CASP2_P42575_OID20555_v1_Inflammation	7	143288215	143288215	143307696	1	ENSG00000106144	1	unique_match	UKBB_EUR
OID20556	CNTNAP2	Q9UHC6	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CNTNAP2_Q9UHC6_OID20556_v1_Inflammation	7	146116002	146116002	148420998	1	ENSG00000174469	1	unique_match	UKBB_EUR
OID20557	MAPK9	P45984	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/MAPK9_P45984_OID20557_v1_Inflammation	5	180292099	180233143	180292099	-1	ENSG00000050748	1	unique_match	UKBB_EUR
OID20558	BCR	P11274	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/BCR_P11274_OID20558_v1_Inflammation	22	23179704	23179704	23318037	1	ENSG00000186716	1	unique_match	UKBB_EUR
OID20559	CLIP2	Q9UDT6	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CLIP2_Q9UDT6_OID20559_v1_Inflammation	7	74289475	74289475	74405943	1	ENSG00000106665	1	unique_match	UKBB_EUR
OID20560	SELPLG	Q14242	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SELPLG_Q14242_OID20560_v1_Inflammation	12	108633959	108622277	108633959	-1	ENSG00000110876	1	unique_match	UKBB_EUR
OID20561	CXADR	P78310	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CXADR_P78310_OID20561_v1_Inflammation	21	17512382	17512382	17593579	1	ENSG00000154639	1	unique_match	UKBB_EUR
OID20562	IL15	P40933	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL15_P40933_OID20562_v1_Inflammation	4	141636599	141636599	141733987	1	ENSG00000164136	1	unique_match	UKBB_EUR
OID20563	IL6	P05231	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL6_P05231_OID20563_v1_Inflammation	7	22725884	22725884	22732002	1	ENSG00000136244	1	unique_match	UKBB_EUR
OID20564	FCAR	P24071	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/FCAR_P24071_OID20564_v1_Inflammation	19	54874248	54874248	54890472	1	ENSG00000186431	1	unique_match	UKBB_EUR
OID20565	CD83	Q01151	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD83_Q01151_OID20565_v1_Inflammation	6	14117256	14117256	14136918	1	ENSG00000112149	1	unique_match	UKBB_EUR
OID20566	NCR1	O76036	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NCR1_O76036_OID20566_v1_Inflammation	19	54906150	54906150	54916140	1	ENSG00000189430	1	unique_match	UKBB_EUR
OID20567	NCF2	P19878	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NCF2_P19878_OID20567_v1_Inflammation	1	183590604	183555562	183590604	-1	LRG_88	2	multi_match_first	UKBB_EUR
OID20568	NPPC	P23582	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NPPC_P23582_OID20568_v1_Inflammation	2	231926403	231921820	231926403	-1	ENSG00000163273	1	unique_match	UKBB_EUR
OID20569	CCL28	Q9NRJ3	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CCL28_Q9NRJ3_OID20569_v1_Inflammation	5	43412391	43376645	43412391	-1	ENSG00000151882	1	unique_match	UKBB_EUR
OID20570	PTX3	P26022	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PTX3_P26022_OID20570_v1_Inflammation	3	157436789	157436789	157443628	1	ENSG00000163661	1	unique_match	UKBB_EUR
OID20571	PTH1R	Q03431	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PTH1R_Q03431_OID20571_v1_Inflammation	3	46877746	46877746	46903799	1	ENSG00000160801	1	unique_match	UKBB_EUR
OID20572	EGLN1	Q9GZT9	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/EGLN1_Q9GZT9_OID20572_v1_Inflammation	1	231425044	231363751	231425044	-1	ENSG00000135766	1	unique_match	UKBB_EUR
OID20573	CLEC4A	Q9UMR7	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CLEC4A_Q9UMR7_OID20573_v1_Inflammation	12	8123632	8123632	8138607	1	ENSG00000111729	1	unique_match	UKBB_EUR
OID20574	OSM	P13725	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/OSM_P13725_OID20574_v1_Inflammation	22	30266840	30262829	30266840	-1	ENSG00000099985	1	unique_match	UKBB_EUR
OID20575	HSD11B1	P28845	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/HSD11B1_P28845_OID20575_v1_Inflammation	1	209686178	209686178	209734950	1	ENSG00000117594	1	unique_match	UKBB_EUR
OID20576	IL4R	P24394	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL4R_P24394_OID20576_v1_Inflammation	16	27313668	27313668	27364778	1	ENSG00000077238	1	unique_match	UKBB_EUR
OID20577	IRAK4	Q9NWZ3	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IRAK4_Q9NWZ3_OID20577_v1_Inflammation	12	43758944	43758944	43789543	1	ENSG00000198001	2	multi_match_first	UKBB_EUR
OID20578	ICAM4	Q14773	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ICAM4_Q14773_OID20578_v1_Inflammation	19	10286967	10286967	10288522	1	ENSG00000105371	1	unique_match	UKBB_EUR
OID20579	DECR1	Q16698	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/DECR1_Q16698_OID20579_v1_Inflammation	8	90001405	90001405	90052092	1	ENSG00000104325	1	unique_match	UKBB_EUR
OID20580	LY75	O60449	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/LY75_O60449_OID20580_v1_Inflammation	2	159904749	159803355	159904749	-1	ENSG00000054219	1	unique_match	UKBB_EUR
OID20581	ITGA11	Q9UKX5	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ITGA11_Q9UKX5_OID20581_v1_Inflammation	15	68432162	68296533	68432162	-1	ENSG00000137809	1	unique_match	UKBB_EUR
OID20582	AXIN1	O15169	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/AXIN1_O15169_OID20582_v1_Inflammation	16	352673	287440	352673	-1	ENSG00000103126	1	unique_match	UKBB_EUR
OID20583	ANXA11	P50995	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/ANXA11_P50995_OID20583_v1_Inflammation	10	80205572	80150889	80205572	-1	ENSG00000122359	1	unique_match	UKBB_EUR
OID20584	CD4	P01730	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD4_P01730_OID20584_v1_Inflammation	12	6786858	6786858	6820808	1	ENSG00000010610	1	unique_match	UKBB_EUR
OID20585	IL17RB	Q9NRM6	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL17RB_Q9NRM6_OID20585_v1_Inflammation	3	53846580	53846580	53865800	1	ENSG00000056736	1	unique_match	UKBB_EUR
OID20586	LTA	P01374	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/LTA_P01374_OID20586_v1_Inflammation	6	31572054	31572054	31574324	1	ENSG00000226979	1	unique_match	UKBB_EUR
OID20587	PIK3AP1	Q6ZUJ8	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PIK3AP1_Q6ZUJ8_OID20587_v1_Inflammation	10	96720514	96593312	96720514	-1	ENSG00000155629	1	unique_match	UKBB_EUR
OID20588	MGMT	P16455	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/MGMT_P16455_OID20588_v1_Inflammation	10	129467184	129467184	129768007	1	ENSG00000170430	1	unique_match	UKBB_EUR
OID20589	HEXIM1	O94992	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/HEXIM1_O94992_OID20589_v1_Inflammation	17	45148502	45148502	45152101	1	ENSG00000186834	1	unique_match	UKBB_EUR
OID20590	CLEC4G	Q6UXB4	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CLEC4G_Q6UXB4_OID20590_v1_Inflammation	19	7733906	7728957	7733906	-1	ENSG00000182566	1	unique_match	UKBB_EUR
OID20591	NTF3	P20783	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NTF3_P20783_OID20591_v1_Inflammation	12	5432112	5432112	5521536	1	ENSG00000185652	1	unique_match	UKBB_EUR
OID20592	TNFSF11	O14788	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TNFSF11_O14788_OID20592_v1_Inflammation	13	42562736	42562736	42608013	1	ENSG00000120659	1	unique_match	UKBB_EUR
OID20594	BANK1	Q8NDB2	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/BANK1_Q8NDB2_OID20594_v1_Inflammation	4	101411286	101411286	102074812	1	ENSG00000153064	1	unique_match	UKBB_EUR
OID20595	CD200R1	Q8TD46	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD200R1_Q8TD46_OID20595_v1_Inflammation	3	112975122	112921209	112975122	-1	ENSG00000163606	1	unique_match	UKBB_EUR
OID20596	KRT19	P08727	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/KRT19_P08727_OID20596_v1_Inflammation	17	41528308	41523617	41528308	-1	ENSG00000171345	1	unique_match	UKBB_EUR
OID20597	PLXNA4	Q9HCM2	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PLXNA4_Q9HCM2_OID20597_v1_Inflammation	7	132648688	132123332	132648688	-1	ENSG00000221866	1	unique_match	UKBB_EUR
OID20598	PTPRM	P28827	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PTPRM_P28827_OID20598_v1_Inflammation	18	7566782	7566782	8406861	1	ENSG00000173482	1	unique_match	UKBB_EUR
OID20599	CD70	P32970	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD70_P32970_OID20599_v1_Inflammation	19	6604103	6583183	6604103	-1	ENSG00000125726	1	unique_match	UKBB_EUR
OID20600	TGFA	P01135	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TGFA_P01135_OID20600_v1_Inflammation	2	70554193	70447280	70554193	-1	ENSG00000163235	1	unique_match	UKBB_EUR
OID20601	IL5RA	Q01344	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL5RA_Q01344_OID20601_v1_Inflammation	3	3126613	3066326	3126613	-1	ENSG00000091181	1	unique_match	UKBB_EUR
OID20602	SLAMF7	Q9NQ25	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SLAMF7_Q9NQ25_OID20602_v1_Inflammation	1	160739057	160739057	160754821	1	ENSG00000026751	1	unique_match	UKBB_EUR
OID20603	CD200	P41217	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD200_P41217_OID20603_v1_Inflammation	3	112332347	112332347	112362812	1	ENSG00000091972	1	unique_match	UKBB_EUR
OID20604	GZMB	P10144	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/GZMB_P10144_OID20604_v1_Inflammation	14	24634267	24630954	24634267	-1	ENSG00000100453	1	unique_match	UKBB_EUR
OID20605	IL32	P24001	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IL32_P24001_OID20605_v1_Inflammation	16	3065297	3065297	3082192	1	ENSG00000008517	1	unique_match	UKBB_EUR
OID20606	LIFR	P42702	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/LIFR_P42702_OID20606_v1_Inflammation	5	38608354	38474963	38608354	-1	ENSG00000113594	1	unique_match	UKBB_EUR
OID20607	CD84	Q9UIB8	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD84_Q9UIB8_OID20607_v1_Inflammation	1	160579516	160541095	160579516	-1	ENSG00000066294	1	unique_match	UKBB_EUR
OID20608	RAB6A	P20340	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/RAB6A_P20340_OID20608_v1_Inflammation	11	73761137	73675638	73761137	-1	ENSG00000175582	1	unique_match	UKBB_EUR
OID20609	CLEC4D	Q8WXI8	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CLEC4D_Q8WXI8_OID20609_v1_Inflammation	12	8509475	8509475	8522366	1	ENSG00000166527	1	unique_match	UKBB_EUR
OID20610	CCL3	P10147	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CCL3_P10147_OID20610_v1_Inflammation	17	36090169	36088256	36090169	-1	ENSG00000277632	1	unique_match	UKBB_EUR
OID20611	TNFSF10	P50591	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TNFSF10_P50591_OID20611_v1_Inflammation	3	172523507	172505508	172523507	-1	ENSG00000121858	1	unique_match	UKBB_EUR
OID20612	TLR3	O15455	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TLR3_O15455_OID20612_v1_Inflammation	4	186069152	186069152	186088069	1	ENSG00000164342	2	multi_match_first	UKBB_EUR
OID20613	CXCL6	P80162	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CXCL6_P80162_OID20613_v1_Inflammation	4	73836497	73836497	73849064	1	ENSG00000124875	1	unique_match	UKBB_EUR
OID20614	PCDH1	Q08174	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/PCDH1_Q08174_OID20614_v1_Inflammation	5	141879246	141853111	141879246	-1	ENSG00000156453	1	unique_match	UKBB_EUR
OID20615	HPCAL1	P37235	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/HPCAL1_P37235_OID20615_v1_Inflammation	2	10302889	10302889	10427617	1	ENSG00000115756	1	unique_match	UKBB_EUR
OID20616	CD40LG	P29965	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD40LG_P29965_OID20616_v1_Inflammation	23	136648177	136648177	136660390	1	LRG_141	2	multi_match_first	UKBB_EUR
OID20617	CKAP4	Q07065	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CKAP4_Q07065_OID20617_v1_Inflammation	12	106304279	106237877	106304279	-1	ENSG00000136026	1	unique_match	UKBB_EUR
OID20618	FKBP1B	P68106	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/FKBP1B_P68106_OID20618_v1_Inflammation	2	24049701	24049701	24063681	1	ENSG00000119782	1	unique_match	UKBB_EUR
OID20619	IDS	P22304	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/IDS_P22304_OID20619_v1_Inflammation	23	149521096	149476990	149521096	-1	ENSG00000010404	1	unique_match	UKBB_EUR
OID20620	DFFA	O00273	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/DFFA_O00273_OID20620_v1_Inflammation	1	10472526	10456522	10472526	-1	ENSG00000160049	1	unique_match	UKBB_EUR
OID20621	TGFB1	P01137	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TGFB1_P01137_OID20621_v1_Inflammation	19	41353911	41301587	41353911	-1	ENSG00000105329	1	unique_match	UKBB_EUR
OID20622	CXCL17	Q6UXB2	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CXCL17_Q6UXB2_OID20622_v1_Inflammation	19	42443048	42428288	42443048	-1	ENSG00000189377	1	unique_match	UKBB_EUR
OID20623	NUDC	Q9Y266	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/NUDC_Q9Y266_OID20623_v1_Inflammation	1	26900238	26900238	26946862	1	ENSG00000090273	1	unique_match	UKBB_EUR
OID20624	TNFSF12	O43508	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/TNFSF12_O43508_OID20624_v1_Inflammation	17	7548891	7548891	7557890	1	ENSG00000239697	1	unique_match	UKBB_EUR
OID20625	EIF4G1	Q04637	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/EIF4G1_Q04637_OID20625_v1_Inflammation	3	184314495	184314495	184335358	1	ENSG00000114867	1	unique_match	UKBB_EUR
OID20626	BSG	P35613	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/BSG_P35613_OID20626_v1_Inflammation	19	571277	571277	583493	1	ENSG00000172270	1	unique_match	UKBB_EUR
OID20627	DNAJA2	O60884	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/DNAJA2_O60884_OID20627_v1_Inflammation	16	46973788	46955362	46973788	-1	ENSG00000069345	1	unique_match	UKBB_EUR
OID20628	CD244	Q9BZW8	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/CD244_Q9BZW8_OID20628_v1_Inflammation	1	160862855	160830160	160862855	-1	ENSG00000122223	1	unique_match	UKBB_EUR
OID20629	KLRB1	Q12918	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/KLRB1_Q12918_OID20629_v1_Inflammation	12	9607886	9594551	9607886	-1	ENSG00000111796	1	unique_match	UKBB_EUR
OID20630	SERPINB8	P50452	v1	Inflammation	/data/Dutta_lab/decode/ukb_ppp/EUR/SERPINB8_P50452_OID20630_v1_Inflammation	18	63969925	63969925	64019779	1	ENSG00000166401	1	unique_match	UKBB_EUR
