PROTEIN	GENE	CHR	START	END
SeqId_17151_84	IRF3	19	49661003	49661003
SeqId_17153_46	KIR2DL3	19	54738513	54738513
SeqId_17156_72	DCLK1	13	35793479	35793479
SeqId_17161_1	DDOST	1	20653084	20653084
SeqId_17164_15	ANXA4	2	69644425	69644425
SeqId_17165_1	PPBP	4	73988190	73988190
SeqId_17170_15	CALCB	11	14904997	14904997
SeqId_17205_21	RAB5A	3	19947097	19947097
SeqId_17210_2	TCL1A	14	95711962	95711962
SeqId_17224_12	OGN	9	92393152	92393152
SeqId_17231_1	LCP1	13	46153243	46153243
SeqId_17325_10	GUK1	1	228139962	228139962
SeqId_17327_3	CNPY3	6	42929192	42929192
SeqId_17329_2	BDH2	4	103099808	103099808
SeqId_17331_138	KREMEN1	22	29073078	29073078
SeqId_17332_3	ADPRHL2	1	36088892	36088892
SeqId_17333_20	ACADM	1	75724347	75724347
SeqId_17341_89	ACAT2	6	159762045	159762045
SeqId_17345_12	ZADH2	18	75205513	75205513
SeqId_17347_80	AIDA	1	222676218	222676218
SeqId_17350_13	CHMP2B	3	87227271	87227271
SeqId_17367_5	STMN1	1	25892607	25892607
SeqId_17370_186	ABHD10	3	111979010	111979010
SeqId_17377_1	AKR1C3	10	5035354	5035354
SeqId_17380_2	UBE2K	4	39698109	39698109
SeqId_17383_4	STARD5	15	81310139	81310139
SeqId_17384_110	PFKM	12	48105139	48105139
SeqId_17391_10	RBM17	10	6089034	6089034
SeqId_17396_23	ADH1A	4	99290983	99290983
SeqId_17447_52	SFRP4	7	37909839	37909839
SeqId_17450_51	HARS	5	140675333	140675333
SeqId_17453_34	CP	3	149176714	149176714
SeqId_17456_53	GOLM1	9	86036813	86036813
SeqId_17460_51	MX1	21	41420304	41420304
SeqId_17490_4	SH3BGRL3	1	26280086	26280086
SeqId_17512_2	NMI	2	151289668	151289668
SeqId_17513_11	ANXA11	10	80158018	80158018
SeqId_17514_48	RAB21	12	71754863	71754863
SeqId_17515_6	HSPA13	21	14383146	14383146
SeqId_17672_184	GIF	11	59835927	59835927
SeqId_17675_17	ACOT13	6	24667035	24667035
SeqId_17676_13	TRIP10	19	6737925	6737925
SeqId_17680_12	EPHB1	3	134597801	134597801
SeqId_17682_1	CD46	1	207752057	207752057
SeqId_17685_9	APOA4	11	116823304	116823304
SeqId_17686_27	TBCB	19	36114289	36114289
SeqId_17691_1	TPP1	11	6615455	6615455
SeqId_17692_2	BTN3A3	6	26440472	26440472
SeqId_17694_32	PSME2	14	24143952	24143952
SeqId_17697_2	OVCA2	17	2042022	2042022
SeqId_17702_53	UGT1A1	2	233760270	233760270
SeqId_17704_74	HSPH1	13	31138568	31138568
SeqId_17706_4	PPP1R1A	12	54584316	54584316
SeqId_17712_7	IDI1	10	1048397	1048397
SeqId_17722_5	FKBP4	12	2794970	2794970
SeqId_17726_3	SAR1A	10	70157823	70157823
SeqId_17728_61	CHMP2A	19	58554097	58554097
SeqId_17737_7	IVD	15	40405485	40405485
SeqId_17739_1	HADH	4	107989714	107989714
SeqId_17746_77	FIS1	7	101241177	101241177
SeqId_17748_21	TP53I3	2	24084311	24084311
SeqId_17751_68	CRYBB1	22	26608329	26608329
SeqId_17755_5	UGDH	4	39526557	39526557
SeqId_17757_86	CAB39	2	230712842	230712842
SeqId_17758_79	DCXR	17	82036412	82036412
SeqId_17761_2	NUDT5	10	12173813	12173813
SeqId_17764_108	RHOC	1	112703653	112703653
SeqId_17765_3	SNUPN	15	75605364	75605364
SeqId_17766_5	NCF1	7	74773962	74773962
SeqId_17769_28	PCNP	3	101574180	101574180
SeqId_17773_26	NAPG	18	10525905	10525905
SeqId_17781_191	MAP1LC3A	20	34546854	34546854
SeqId_17782_23	ACAA1	3	38123083	38123083
SeqId_17783_9	MMAB	12	109573480	109573480
SeqId_17785_11	RCL	6	43226627	43226627
SeqId_17787_1	ECHS1	10	133373354	133373354
SeqId_17791_25	HPCAL1	2	10302889	10302889
SeqId_17794_6	PMM2	16	8788823	8788823
SeqId_17796_15	IMPA1	8	81674421	81674421
SeqId_17799_9	PGLS	19	17511636	17511636
SeqId_17802_4	NANS	9	98056732	98056732
SeqId_17808_37	NIT2	3	100334739	100334739
SeqId_17813_21	BPHL	6	3118374	3118374
SeqId_17814_8	BPNT1	1	220074067	220074067
SeqId_17818_22	SUGT1	13	52652709	52652709
SeqId_17819_30	FAHD1	16	1826941	1826941
SeqId_17821_20	NMT2	10	15109828	15109828
SeqId_17828_3	S100A14	1	153615938	153615938
SeqId_17832_12	IDI2	10	1025859	1025859
SeqId_17836_17	S100A16	1	153608322	153608322
SeqId_17843_30	PPCS	1	42456117	42456117
SeqId_17852_5	PPME1	11	74171267	74171267
SeqId_17856_23	NT5M	17	17303335	17303335
SeqId_18172_71	ASF1A	6	118894152	118894152
SeqId_18173_11	AKR7A3	1	19288770	19288770
SeqId_18174_79	PDCD6IP	3	33798571	33798571
SeqId_18175_65	VAT1	17	43016313	43016313
SeqId_18177_49	NAE1	16	66806069	66806069
SeqId_18178_13	SARS	1	109213918	109213918
SeqId_18180_58	RTN4IP1	6	106572411	106572411
SeqId_18182_24	PCK1	20	57561080	57561080
SeqId_18183_3	LDLRAP1	1	25543606	25543606
SeqId_18184_28	GMPS	3	155870650	155870650
SeqId_18185_118	ALDOB	9	101429875	101429875
SeqId_18186_15	TARS	5	33440696	33440696
SeqId_18191_23	RANBP1	22	20115938	20115938
SeqId_18206_18	ADH6	4	99208814	99208814
SeqId_18213_30	UBE2F	2	237966827	237966827
SeqId_18214_2	GCLM	1	93908790	93908790
SeqId_18215_5	THG1L	5	157731420	157731420
SeqId_18216_22	IL11RA	9	34650702	34650702
SeqId_18218_48	CNRIP1	2	68319400	68319400
SeqId_18220_141	SRA1	5	140551128	140551128
SeqId_18222_34	SH3GLB2	9	129012016	129012016
SeqId_18225_13	HEBP1	12	12979795	12979795
SeqId_18235_16	PGP	16	2213899	2213899
SeqId_18236_3	HSPC159	2	64453969	64453969
SeqId_18241_18	CPOX	3	98585862	98585862
SeqId_18243_9	CMPK1	1	47333797	47333797
SeqId_18244_1	ANXA7	10	73378958	73378958
SeqId_18280_29	DTD2	14	31457425	31457425
SeqId_18289_16	CCL15	17	35998370	35998370
SeqId_18295_102	GRHPR	9	37422666	37422666
SeqId_18310_26	SEPW1	19	47778585	47778585
SeqId_18313_4	ASRGL1	11	62337448	62337448
SeqId_18315_38	RTP4	3	187368385	187368385
SeqId_18319_7	PDHX	11	34915829	34915829
SeqId_18332_17	CPLX1	4	792692	792692
SeqId_18338_26	IDH1	2	208240315	208240315
SeqId_18340_2	PSMB4	1	151399560	151399560
SeqId_18342_2	PSAT1	9	78297125	78297125
SeqId_18343_10	DECR2	16	401858	401858
SeqId_18373_13	RDX	11	110233466	110233466
SeqId_18386_36	GLRX	5	95819502	95819502
SeqId_18387_7	ST13	22	40835905	40835905
SeqId_18397_5	AKR1C4	10	5195462	5195462
SeqId_18398_1	AKR1D1	7	138002324	138002324
SeqId_18401_18	ALKBH3	11	43880811	43880811
SeqId_18403_25	AMPD2	1	109616104	109616104
SeqId_18408_26	ARF4	3	57597198	57597198
SeqId_18417_3	AS3MT	10	102869470	102869470
SeqId_18813_15	DDX19A	16	70346861	70346861
SeqId_18819_21	PPIC	5	123036725	123036725
SeqId_18824_7	EIF4A2	3	186783205	186783205
SeqId_18830_1	ITLN1	1	160881521	160881521
SeqId_18831_6	LRIG1	3	66404410	66404410
SeqId_18832_65	SAA2	11	18248019	18248019
SeqId_18841_1	SERPINB13	18	63586989	63586989
SeqId_18864_7	PRSS3	9	33750466	33750466
SeqId_18871_24	AIF1L	9	131096476	131096476
SeqId_18873_8	CEACAM8	19	42594924	42594924
SeqId_18875_125	COL2A1	12	47977445	47977445
SeqId_18876_77	CHST4	16	71525233	71525233
SeqId_18878_15	GREM1	15	32718004	32718004
SeqId_18880_81	COL3A1	2	188974373	188974373
SeqId_18881_7	CD97	19	14380501	14380501
SeqId_18882_7	CLSTN2	3	139935185	139935185
SeqId_18884_22	DNAJB4	1	77979175	77979175
SeqId_18886_28	DSCAML1	11	117797091	117797091
SeqId_18891_98	GBP2	1	89113050	89113050
SeqId_18893_26	GPR56	16	57610652	57610652
SeqId_18895_54	GSTM4	1	109656099	109656099
SeqId_18896_23	HS6ST3	13	96090839	96090839
SeqId_18897_31	HDAC2	6	113949323	113949323
SeqId_18899_82	HDGFRP3	15	83157989	83157989
SeqId_18916_25	ITPA	20	3208868	3208868
SeqId_18917_53	AMY2A	1	103616811	103616811
SeqId_18922_27	CD68	17	7579491	7579491
SeqId_18930_28	SLIT2	4	20251905	20251905
SeqId_18933_4	TGM4	3	44874608	44874608
SeqId_18934_50	TGM2	20	38133760	38133760
SeqId_19113_66	SH3BGRL2	6	79631329	79631329
SeqId_19115_13	CMBL	5	10282288	10282288
SeqId_19124_9	UBLCP1	5	159263290	159263290
SeqId_19127_1	HSPB6	19	35757009	35757009
SeqId_19129_15	MTHFSD	16	86533800	86533800
SeqId_19130_81	SERPINB8	18	63970029	63970029
SeqId_19135_5	NT5C3L	17	41830880	41830880
SeqId_19136_22	ALDH6A1	14	74069258	74069258
SeqId_19143_38	CYB5R2	11	7666684	7666684
SeqId_19150_20	PRPSAP2	17	18840085	18840085
SeqId_19154_41	SERPINE2	2	223982780	223982780
SeqId_19161_1	USP15	12	62260338	62260338
SeqId_19173_5	ZFAND1	8	81703128	81703128
SeqId_19176_27	FAM49B	8	129847317	129847317
SeqId_19187_21	STAMBP	2	73828916	73828916
SeqId_19188_21	NAP1L4	11	2951295	2951295
SeqId_19194_9	DTD1	20	18587893	18587893
SeqId_19197_95	ACAT1	11	108116695	108116695
SeqId_19206_20	NUDT1	7	2242222	2242222
SeqId_19207_119	ADK	10	74151202	74151202
SeqId_19213_1	SPINK4	9	33218365	33218365
SeqId_19223_6	RAB1A	2	65130086	65130086
SeqId_19233_75	ATOX1	5	151746563	151746563
SeqId_19237_17	DDT	22	23973183	23973183
SeqId_19238_12	GLUL	1	182385939	182385939
SeqId_19240_265	PDAP1	7	99397960	99397960
SeqId_19241_31	RBP5	12	7128561	7128561
SeqId_19243_2	PFDN2	1	161118037	161118037
SeqId_19251_56	SRGN	10	69088103	69088103
SeqId_19254_125	GMPR	6	16238587	16238587
SeqId_19258_24	GCDH	19	12891160	12891160
SeqId_19260_4	GIPC1	19	14479857	14479857
SeqId_19262_219	ACADVL	17	7217125	7217125
SeqId_19266_35	G3BP1	5	151771045	151771045
SeqId_19267_14	HAGH	16	1812419	1812419
SeqId_19273_3	GSR	8	30726945	30726945
SeqId_19277_4	TSTD1	1	161038307	161038307
SeqId_19279_42	RBP1	3	139518635	139518635
SeqId_19289_29	UROD	1	45010950	45010950
SeqId_19293_6	VPS26A	10	69123512	69123512
SeqId_19317_114	ACPP	3	132317369	132317369
SeqId_19334_62	TXNDC12	1	52023574	52023574
SeqId_19347_37	CA12	15	63331813	63331813
SeqId_19360_22	LRRTM1	2	80304274	80304274
SeqId_19361_78	MATN3	2	19997853	19997853
SeqId_19365_11	BCAT2	19	48797543	48797543
SeqId_19367_34	DCI	16	2244438	2244438
SeqId_19372_7	MDGA2	14	46882222	46882222
SeqId_19376_74	NNMT	11	114257787	114257787
SeqId_19377_14	OLFM2	19	9858146	9858146
SeqId_19379_154	RAB3D	19	11339657	11339657
SeqId_19392_6	DDAH1	1	85404528	85404528
SeqId_19437_61	VEGFA	6	43770184	43770184
SeqId_19446_1	GMPR2	14	24232422	24232422
SeqId_19448_104	UPP1	7	48088628	48088628
SeqId_19488_1	PDCD6	5	271621	271621
SeqId_19496_1	NPL	1	182789293	182789293
SeqId_19504_22	DTYMK	2	241685877	241685877
SeqId_19518_12	HK3	5	176881872	176881872
SeqId_19523_215	PARK7	1	7954291	7954291
SeqId_19556_12	CR1	1	207496147	207496147
SeqId_19557_3	KLB	4	39406930	39406930
SeqId_19558_10	LRP4	11	46862933	46862933
SeqId_19560_23	PLXNA4	7	132145507	132145507
SeqId_19561_216	PLXND1	3	129557034	129557034
SeqId_19563_3	SEZ6L	22	26169462	26169462
SeqId_19578_19	DOK2	8	21911075	21911075
SeqId_19590_46	SFTPD	10	79949105	79949105
SeqId_19602_36	JUND	19	18280929	18280929
SeqId_19606_28	IHH	2	219060921	219060921
SeqId_19614_8	TCN1	11	59854767	59854767
SeqId_19615_213	NT5C3A	7	33015926	33015926
SeqId_19616_100	EFHD1	2	232606057	232606057
SeqId_19617_5	PTGR1	9	111597413	111597413
SeqId_19622_7	INHBA	7	41692564	41692564
SeqId_19631_13	KNG1	3	186717348	186717348
SeqId_19635_69	FGL2	7	77199819	77199819
SeqId_2190_55	F11	4	186266189	186266189
SeqId_2201_17	COL18A1	21	45405165	45405165
SeqId_2212_69	PLAT	8	42180764	42180764
SeqId_2278_61	TIMP2	17	78874089	78874089
SeqId_2381_52	C5	9	120962707	120962707
SeqId_2436_49	CXCL16	17	4736380	4736380
SeqId_2474_54	APCS	1	159587826	159587826
SeqId_2480_58	TIMP3	22	32801701	32801701
SeqId_2500_2	ANGPT4	20	916334	916334
SeqId_2515_14	GFRA2	8	21788159	21788159
SeqId_2516_57	CCL21	9	34710069	34710069
SeqId_2567_5	CFI	4	109746292	109746292
SeqId_2571_12	IGFBP3	7	45915325	45915325
SeqId_2579_17	MMP9	20	46008908	46008908
SeqId_2580_83	MPO	17	58273492	58273492
SeqId_2590_69	ROR1	1	63774017	63774017
SeqId_2597_8	VEGFA	6	43770184	43770184
SeqId_2602_2	ANGPT2	8	6563044	6563044
SeqId_2605_49	TNFRSF8	1	12063303	12063303
SeqId_2609_59	CST3	20	23637945	23637945
SeqId_2611_72	TYRO3	15	41557675	41557675
SeqId_2614_28	EFNA4	1	155063737	155063737
SeqId_2615_60	EFNA5	5	107388553	107388553
SeqId_2617_56	ERBB3	12	56076799	56076799
SeqId_2620_4	IL6ST	5	55947594	55947594
SeqId_2631_50	IL10RB	21	33266367	33266367
SeqId_2632_5	IL12RB1	19	18086930	18086930
SeqId_2635_61	LAYN	11	111540280	111540280
SeqId_2637_77	MRC1	10	17809348	17809348
SeqId_2642_4	PAFAH1B2	11	117144284	117144284
SeqId_2644_11	PRKCA	17	66302613	66302613
SeqId_2647_66	GDI2	10	5769389	5769389
SeqId_2652_15	PLAUR	19	43656573	43656573
SeqId_2654_19	TNFRSF1A	12	6331147	6331147
SeqId_2658_27	NTRK3	15	87933090	87933090
SeqId_2665_26	TNFRSF17	16	11965210	11965210
SeqId_2666_53	DCN	12	91146208	91146208
SeqId_2677_1	EGFR	7	55019017	55019017
SeqId_2681_23	HGF	7	81762996	81762996
SeqId_2683_1	C3	19	6678330	6678330
SeqId_2687_2	MIA	19	40771648	40771648
SeqId_2692_74	PLA2G2A	1	19979067	19979067
SeqId_2697_7	PF4	4	73982027	73982027
SeqId_2700_56	PROS1	3	93886413	93886413
SeqId_2705_5	CCL25	19	8052767	8052767
SeqId_2730_58	MICA	6	31399784	31399784
SeqId_2731_29	POR	7	75899200	75899200
SeqId_2737_22	NOV	8	119416446	119416446
SeqId_2741_22	SIGLEC6	19	51528447	51528447
SeqId_2742_68	SIGLEC7	19	51142299	51142299
SeqId_2743_5	SHH	7	155807370	155807370
SeqId_2744_57	IGHG1 IGHG2 IGHG3 IGHG4 IGK@ IGL@	14	105743071	105743071
SeqId_2747_3	ULBP3	6	150069066	150069066
SeqId_2754_50	C3	19	6678330	6678330
SeqId_2760_2	FAM107A	3	58577388	58577388
SeqId_2771_35	IGFBP1	7	45888360	45888360
SeqId_2774_10	IL16	15	81159575	81159575
SeqId_2783_18	CCL3L1	17	36196457	36196457
SeqId_2789_26	MMP7	11	102530747	102530747
SeqId_2797_56	APOB	2	21042465	21042465
SeqId_2811_27	ANGPT1	8	107295541	107295541
SeqId_2813_11	AGRP	16	67483813	67483813
SeqId_2816_50	BCAM	19	44809071	44809071
SeqId_2819_23	CDH5	16	66366622	66366622
SeqId_2827_23	CX3CL1	16	57372477	57372477
SeqId_2828_82	SPINT1	15	40844018	40844018
SeqId_2831_29	KLK11	19	51024211	51024211
SeqId_2834_54	KLK8	19	50997967	50997967
SeqId_2837_3	MET	7	116672196	116672196
SeqId_2843_13	SPINT2	19	38244035	38244035
SeqId_2844_53	TIE1	1	43300982	43300982
SeqId_2849_49	AIF1	6	31615217	31615217
SeqId_2851_63	C5	9	120962707	120962707
SeqId_2855_49	MAPK3	16	30115999	30115999
SeqId_2864_2	MAP2K1	15	66386817	66386817
SeqId_2870_29	RAC1	7	6374527	6374527
SeqId_2877_3	UBE2I	16	1308880	1308880
SeqId_2879_9	SERPINA3	14	94612384	94612384
SeqId_2888_49	C7	5	40909497	40909497
SeqId_2890_59	CCL28	5	43397264	43397264
SeqId_2900_53	CCL14	17	35986649	35986649
SeqId_2911_27	MDK	11	46380756	46380756
SeqId_2913_1	CCL23	17	36013781	36013781
SeqId_2925_9	SERPINE1	7	101127104	101127104
SeqId_2938_55	APOE	19	44905791	44905791
SeqId_2944_66	NBL1	1	19596979	19596979
SeqId_2946_52	CFD	19	859664	859664
SeqId_2948_58	GHR	5	42423439	42423439
SeqId_2961_1	PROC	2	127418427	127418427
SeqId_2966_65	CLEC11A	19	50723364	50723364
SeqId_2967_8	VCAM1	1	100719742	100719742
SeqId_2968_61	TNFSF15	9	114792108	114792108
SeqId_2972_57	BMP7	20	57173589	57173589
SeqId_2973_15	CD36	7	80369575	80369575
SeqId_2974_61	CNTN1	12	40692439	40692439
SeqId_2977_7	EDAR	2	108989220	108989220
SeqId_2982_82	LGALS4	19	38803651	38803651
SeqId_2985_35	CXCL1	4	73869393	73869393
SeqId_2991_9	IL1R1	2	102064544	102064544
SeqId_2992_59	IL17RA	22	17084954	17084954
SeqId_2993_1	IL18RAP	2	102418689	102418689
SeqId_2994_71	IL1RL2	2	102187006	102187006
SeqId_2998_53	JAM3	11	134069071	134069071
SeqId_2999_6	LSAMP	3	115842497	115842497
SeqId_3000_66	MBL2	10	52771700	52771700
SeqId_3003_29	NCR3	6	31592749	31592749
SeqId_3004_67	PDCD1LG2	9	5510531	5510531
SeqId_3007_7	SIGLEC9	19	51124908	51124908
SeqId_3009_3	TGFBR3	1	91712363	91712363
SeqId_3024_18	SERPINF2	17	1742836	1742836
SeqId_3025_50	FGF2	4	122826708	122826708
SeqId_3028_36	CCL23	17	36013781	36013781
SeqId_3029_52	CD209	19	7747511	7747511
SeqId_3033_57	LGALS2	22	37580087	37580087
SeqId_3038_9	CXCL11	4	76036070	76036070
SeqId_3040_59	CCL3	17	36090134	36090134
SeqId_3041_55	MRC2	17	62627670	62627670
SeqId_3043_49	SPARC	5	151667584	151667584
SeqId_3044_3	CCL18	17	36064272	36064272
SeqId_3045_72	PTN	7	137343733	137343733
SeqId_3046_31	RETN	19	7669049	7669049
SeqId_3049_61	PRSS1	7	142749468	142749468
SeqId_3054_3	HP	16	72054505	72054505
SeqId_3059_50	TNFSF13B	13	108251240	108251240
SeqId_3060_43	C9	5	39364495	39364495
SeqId_3066_12	LGALS3	14	55124110	55124110
SeqId_3073_51	IL18BP	11	71998613	71998613
SeqId_3074_6	LBP	20	38346482	38346482
SeqId_3077_66	F10	13	113122799	113122799
SeqId_3079_62	RARRES2	7	150341629	150341629
SeqId_3132_1	VEGFC	4	176729592	176729592
SeqId_3143_3	CD4	12	6786858	6786858
SeqId_3148_49	CXCL2	4	74099195	74099195
SeqId_3151_6	IL2RA	10	6020339	6020339
SeqId_3152_57	TNFRSF1B	1	12166991	12166991
SeqId_3166_92	CD33	19	51225064	51225064
SeqId_3168_8	ADAMTS5	21	26965573	26965573
SeqId_3169_70	IDUA	4	986997	986997
SeqId_3171_57	APP	21	25897983	25897983
SeqId_3172_28	ARSB	5	78783494	78783494
SeqId_3173_49	NAAA	4	75921027	75921027
SeqId_3175_51	ADAMTS13	9	133414358	133414358
SeqId_3178_5	CTSC	11	88299755	88299755
SeqId_3179_51	CTSA	20	45890144	45890144
SeqId_3181_50	CTSS	1	150733062	150733062
SeqId_3182_38	ENTPD1	10	95711779	95711779
SeqId_3184_25	F7	13	113105788	113105788
SeqId_3186_2	C2	6	31897785	31897785
SeqId_3191_50	WFIKKN1	16	629239	629239
SeqId_3194_36	GP6	19	55018819	55018819
SeqId_3195_50	GNLY	2	85685175	85685175
SeqId_3196_6	HAPLN1	5	83673544	83673544
SeqId_3204_2	LTA4H	12	96011258	96011258
SeqId_3206_4	LYVE1	11	10568577	10568577
SeqId_3210_1	METAP1	4	98995659	98995659
SeqId_3212_30	ASAH2	10	50199146	50199146
SeqId_3213_65	NID1	1	236065090	236065090
SeqId_3216_2	PIGR	1	206931833	206931833
SeqId_3220_40	RET	10	43077064	43077064
SeqId_3221_54	SFRP1	8	41306990	41306990
SeqId_3232_28	ACP5	19	11576943	11576943
SeqId_3234_23	CCDC80	3	112610280	112610280
SeqId_3235_50	WFIKKN2	17	50834650	50834650
SeqId_3280_49	ACAN	15	88803436	88803436
SeqId_3283_21	TGFBI	5	136028988	136028988
SeqId_3285_23	C1R	12	7087844	7087844
SeqId_3290_50	CD109	6	73695785	73695785
SeqId_3291_30	FCER2	19	7699479	7699479
SeqId_3292_75	CD48	1	160711803	160711803
SeqId_3293_2	CD5L	1	157841808	157841808
SeqId_3296_92	CNTN2	1	205042937	205042937
SeqId_3298_52	CNTN4	3	2098813	2098813
SeqId_3299_29	CNTN5	11	99020949	99020949
SeqId_3302_58	CST7	20	24949269	24949269
SeqId_3305_6	DLL4	15	40929340	40929340
SeqId_3309_2	FCGR2A	1	161505430	161505430
SeqId_3310_62	FCGR2B	1	161663147	161663147
SeqId_3311_27	FCGR3B	1	161630250	161630250
SeqId_3313_21	FCN2	9	134880810	134880810
SeqId_3314_74	GFRA1	10	116272282	116272282
SeqId_3316_58	SERPIND1	22	20774113	20774113
SeqId_3320_49	IGFBP7	4	57065603	57065603
SeqId_3322_52	LRIG3	12	58874572	58874572
SeqId_3323_37	LRP8	1	53257291	53257291
SeqId_3324_51	LY9	1	160796074	160796074
SeqId_3325_2	MATN2	8	97868840	97868840
SeqId_3326_58	CADM1	11	115179111	115179111
SeqId_3327_27	NTN4	12	95665859	95665859
SeqId_3329_14	PGLYRP1	19	46023053	46023053
SeqId_3331_8	RGMB	5	98768650	98768650
SeqId_3336_50	TFPI	2	187496976	187496976
SeqId_3339_33	THBS2	6	169223440	169223440
SeqId_3340_53	THBS4	5	79991311	79991311
SeqId_3343_1	ACY1	3	51983340	51983340
SeqId_3344_60	SERPINC1	1	173914665	173914665
SeqId_3348_49	BMP1	8	22165140	22165140
SeqId_3352_80	CA6	1	8945867	8945867
SeqId_3363_31	CSK	15	74782057	74782057
SeqId_3364_76	CTSV	9	97039142	97039142
SeqId_3366_51	ECM1	1	150508062	150508062
SeqId_3367_8	FETUB	3	186635969	186635969
SeqId_3376_49	IL17RD	3	57142491	57142491
SeqId_3378_49	KLK7	19	50983815	50983815
SeqId_3381_24	LYN	8	55879835	55879835
SeqId_3389_7	SERPINA5	14	94561442	94561442
SeqId_3396_54	REN	1	204166337	204166337
SeqId_3403_1	TPSB2	16	1230162	1230162
SeqId_3405_6	UFC1	1	161152776	161152776
SeqId_3415_61	IBSP	4	87799554	87799554
SeqId_3419_49	CAMK2D	4	113513842	113513842
SeqId_3420_21	CA13	8	85220587	85220587
SeqId_3421_54	TNFSF8	9	114904308	114904308
SeqId_3431_54	EPHA1	7	143391391	143391391
SeqId_3435_53	FN1	2	215363640	215363640
SeqId_3438_10	FSTL3	19	676392	676392
SeqId_3440_7	GZMA	5	55102646	55102646
SeqId_3441_64	GSK3A	19	42232837	42232837
SeqId_3445_53	IL15RA	10	5960567	5960567
SeqId_3448_13	INSR	19	7123158	7123158
SeqId_3449_58	SERPINA4	14	94561442	94561442
SeqId_3453_87	LYN	8	55879835	55879835
SeqId_3457_57	POSTN	13	37565003	37565003
SeqId_3459_49	PDGFRB	5	150114958	150114958
SeqId_3461_58	BCAN	1	156641390	156641390
SeqId_3470_1	SELE	1	169732718	169732718
SeqId_3474_19	THBS1	15	39581079	39581079
SeqId_3481_87	XPNPEP1	10	109871032	109871032
SeqId_3484_60	AGT	1	230714122	230714122
SeqId_3488_64	CAT	11	34438934	34438934
SeqId_3495_15	CXCL6	4	73836640	73836640
SeqId_3499_77	IL17B	5	149374342	149374342
SeqId_3508_78	CCL22	16	57358783	57358783
SeqId_3516_60	CXCL12	10	44385043	44385043
SeqId_3518_54	CPB2	13	46105028	46105028
SeqId_3519_3	CCL17	16	57404767	57404767
SeqId_3520_58	TGFB3	14	75960957	75960957
SeqId_3535_84	DKK1	10	52314281	52314281
SeqId_3538_26	DDC	7	50459684	50459684
SeqId_3554_24	ADIPOQ	3	186842704	186842704
SeqId_3580_25	SERPINA1	14	94383246	94383246
SeqId_3581_53	AHSG	3	186613060	186613060
SeqId_3587_53	BMP10	2	68871397	68871397
SeqId_3593_72	CASP3	4	184648592	184648592
SeqId_3600_2	CHIT1	1	203218021	203218021
SeqId_3605_77	MASP1	3	187243585	187243585
SeqId_3607_71	DKK3	11	11968746	11968746
SeqId_3616_3	GNS	12	64729154	64729154
SeqId_3617_80	HGFAC	4	3441887	3441887
SeqId_3622_33	LGMN	14	92704905	92704905
SeqId_3623_84	LY86	6	6588108	6588108
SeqId_3640_14	LRPAP1	4	3532149	3532149
SeqId_3651_50	KDR	4	55096720	55096720
SeqId_3710_49	PLG	6	160702238	160702238
SeqId_3727_35	PYY	17	43953940	43953940
SeqId_3728_52	SCT	11	627181	627181
SeqId_3773_15	TEK	9	27109141	27109141
SeqId_3796_79	ANGPTL4	19	8363289	8363289
SeqId_3797_1	CDH2	18	28036585	28036585
SeqId_3799_11	CA3	8	85373436	85373436
SeqId_3803_10	CST5	20	23879748	23879748
SeqId_3805_16	ESM1	5	54985593	54985593
SeqId_3806_55	EPHA5	4	65669935	65669935
SeqId_3807_1	FGF23	12	4374408	4374408
SeqId_3813_3	FYN	6	111676544	111676544
SeqId_3815_14	IL12RB2	1	67307364	67307364
SeqId_3820_68	MAPKAPK2	1	206684944	206684944
SeqId_3844_2	PPIA	7	44796680	44796680
SeqId_3852_19	DNAJB1	19	14517569	14517569
SeqId_3853_56	MDH1	2	63588609	63588609
SeqId_3855_56	PRDX1	1	45521854	45521854
SeqId_3858_5	ACP1	2	264140	264140
SeqId_3866_7	SBDS	7	66994366	66994366
SeqId_3872_2	TPT1	13	45339533	45339533
SeqId_3889_64	LMNB1	5	126776623	126776623
SeqId_3894_15	NAGK	2	71064344	71064344
SeqId_3905_62	UBE2N	12	93407323	93407323
SeqId_4124_24	HSPA1A	6	31815543	31815543
SeqId_4125_52	AGER	6	32181635	32181635
SeqId_4126_22	BPI	20	38304150	38304150
SeqId_4127_75	C6	5	41155104	41155104
SeqId_4129_72	CFB	6	31945650	31945650
SeqId_4133_54	GZMB	14	24634160	24634160
SeqId_4141_79	CXCL10	4	76023497	76023497
SeqId_4145_58	NTF3	12	5432108	5432108
SeqId_4146_58	NTF4	19	49061997	49061997
SeqId_4151_6	PLG	6	160702238	160702238
SeqId_4152_58	KLKB1	4	186208979	186208979
SeqId_4153_11	SERPINA3	14	94612384	94612384
SeqId_4154_57	SELP	1	169591570	169591570
SeqId_4155_3	TNC	9	115035896	115035896
SeqId_4157_2	F2	11	46719196	46719196
SeqId_4158_54	PLAU	10	73909177	73909177
SeqId_4159_130	CFH	1	196652043	196652043
SeqId_4160_49	MMP2	16	55389700	55389700
SeqId_4162_54	TF	3	133746040	133746040
SeqId_4179_57	YWHAG	7	76358991	76358991
SeqId_4187_49	PGD	1	10398592	10398592
SeqId_4188_1	AKR7A2	1	19308505	19308505
SeqId_4192_10	AKR1A1	1	45550543	45550543
SeqId_4209_60	VTA1	6	142147162	142147162
