protein	gene	uniprot	sumstat_file	chr	tss	resource_source
SeqId_14074_2	SHC2	P98077	/data/Dutta_lab/aric/EA/SeqId_14074_2.PHENO1.glm.linear	19	419879	ARIC
SeqId_14076_74	CST4	P01036	/data/Dutta_lab/aric/EA/SeqId_14076_74.PHENO1.glm.linear	20	23689040	ARIC
SeqId_14079_14	IL18R1	Q13478	/data/Dutta_lab/aric/EA/SeqId_14079_14.PHENO1.glm.linear	2	102311529	ARIC
SeqId_14082_56	TLN2	Q9Y4G6	/data/Dutta_lab/aric/EA/SeqId_14082_56.PHENO1.glm.linear	15	62390526	ARIC
SeqId_14083_25	SEPHS1	P49903	/data/Dutta_lab/aric/EA/SeqId_14083_25.PHENO1.glm.linear	10	13340790	ARIC
SeqId_14088_38	IGFBP6	P24592	/data/Dutta_lab/aric/EA/SeqId_14088_38.PHENO1.glm.linear	12	53097436	ARIC
SeqId_14090_23	DEF6	Q9H4E7	/data/Dutta_lab/aric/EA/SeqId_14090_23.PHENO1.glm.linear	6	35297818	ARIC
SeqId_14091_42	CBR3	O75828	/data/Dutta_lab/aric/EA/SeqId_14091_42.PHENO1.glm.linear	21	36135079	ARIC
SeqId_14093_10	FLT3LG	P49771	/data/Dutta_lab/aric/EA/SeqId_14093_10.PHENO1.glm.linear	19	49474207	ARIC
SeqId_14094_29	HBEGF	Q99075	/data/Dutta_lab/aric/EA/SeqId_14094_29.PHENO1.glm.linear	5	140335130	ARIC
SeqId_14095_1	KLRK1	P26718	/data/Dutta_lab/aric/EA/SeqId_14095_1.PHENO1.glm.linear	12	10382182	ARIC
SeqId_14098_28	CARS	P49589	/data/Dutta_lab/aric/EA/SeqId_14098_28.PHENO1.glm.linear	11	3007010	ARIC
SeqId_14099_20	PSMA4	P25789	/data/Dutta_lab/aric/EA/SeqId_14099_20.PHENO1.glm.linear	15	78540405	ARIC
SeqId_14100_63	C1QC	P02747	/data/Dutta_lab/aric/EA/SeqId_14100_63.PHENO1.glm.linear	1	22643633	ARIC
SeqId_14101_2	CNTFR	P26992	/data/Dutta_lab/aric/EA/SeqId_14101_2.PHENO1.glm.linear	9	34589706	ARIC
SeqId_14106_46	RAP1GDS1	P52306	/data/Dutta_lab/aric/EA/SeqId_14106_46.PHENO1.glm.linear	4	98261384	ARIC
SeqId_14107_1	MTHFS	P49914	/data/Dutta_lab/aric/EA/SeqId_14107_1.PHENO1.glm.linear	15	79845327	ARIC
SeqId_14111_15	THBS2	P35442	/data/Dutta_lab/aric/EA/SeqId_14111_15.PHENO1.glm.linear	6	169223440	ARIC
SeqId_14112_40	RELT	Q969Z4	/data/Dutta_lab/aric/EA/SeqId_14112_40.PHENO1.glm.linear	11	73376399	ARIC
SeqId_14114_18	PIANP	Q8IYJ0	/data/Dutta_lab/aric/EA/SeqId_14114_18.PHENO1.glm.linear	12	6698306	ARIC
SeqId_14115_34	ADM	P35318	/data/Dutta_lab/aric/EA/SeqId_14115_34.PHENO1.glm.linear	11	10305073	ARIC
SeqId_14116_129	S100A4	P26447	/data/Dutta_lab/aric/EA/SeqId_14116_129.PHENO1.glm.linear	1	153545063	ARIC
SeqId_14120_2	RNF43	Q68DV7	/data/Dutta_lab/aric/EA/SeqId_14120_2.PHENO1.glm.linear	17	58363592	ARIC
SeqId_14121_24	TNFRSF10D	Q9UBN6	/data/Dutta_lab/aric/EA/SeqId_14121_24.PHENO1.glm.linear	8	23164027	ARIC
SeqId_14122_132	ZNRF3	Q9ULT6	/data/Dutta_lab/aric/EA/SeqId_14122_132.PHENO1.glm.linear	22	28883572	ARIC
SeqId_14123_34	C10orf54	Q9H7M9	/data/Dutta_lab/aric/EA/SeqId_14123_34.PHENO1.glm.linear	10	71757630	ARIC
SeqId_14124_6	EFNA2	O43921	/data/Dutta_lab/aric/EA/SeqId_14124_6.PHENO1.glm.linear	19	1285873	ARIC
SeqId_14127_240	IFNB1	P01574	/data/Dutta_lab/aric/EA/SeqId_14127_240.PHENO1.glm.linear	9	21077942	ARIC
SeqId_14128_121	IFNA10	P01566	/data/Dutta_lab/aric/EA/SeqId_14128_121.PHENO1.glm.linear	9	21207143	ARIC
SeqId_14129_1	IFNA7	P01567	/data/Dutta_lab/aric/EA/SeqId_14129_1.PHENO1.glm.linear	9	21202205	ARIC
SeqId_14131_37	EFNB2	P52799	/data/Dutta_lab/aric/EA/SeqId_14131_37.PHENO1.glm.linear	13	106516447	ARIC
SeqId_14132_21	HHLA2	Q9UM44	/data/Dutta_lab/aric/EA/SeqId_14132_21.PHENO1.glm.linear	3	108296490	ARIC
SeqId_14133_93	IL1R2	P27930	/data/Dutta_lab/aric/EA/SeqId_14133_93.PHENO1.glm.linear	2	101991960	ARIC
SeqId_14134_49	AMIGO2	Q86SJ2	/data/Dutta_lab/aric/EA/SeqId_14134_49.PHENO1.glm.linear	12	47079642	ARIC
SeqId_14135_3	RXFP1	Q9HBX9	/data/Dutta_lab/aric/EA/SeqId_14135_3.PHENO1.glm.linear	4	158315311	ARIC
SeqId_14136_234	CD93	Q9NPY3	/data/Dutta_lab/aric/EA/SeqId_14136_234.PHENO1.glm.linear	20	23086324	ARIC
SeqId_14139_16	NRG4	Q8WWG1	/data/Dutta_lab/aric/EA/SeqId_14139_16.PHENO1.glm.linear	15	75942772	ARIC
SeqId_14143_8	HIST2H2BE	Q16778	/data/Dutta_lab/aric/EA/SeqId_14143_8.PHENO1.glm.linear	1	149886652	ARIC
SeqId_14144_3	HIST3H2A	Q7L7L0	/data/Dutta_lab/aric/EA/SeqId_14144_3.PHENO1.glm.linear	1	228457873	ARIC
SeqId_14146_92	HIST1H3A	P68431	/data/Dutta_lab/aric/EA/SeqId_14146_92.PHENO1.glm.linear	6	26020490	ARIC
SeqId_14149_9	IL36B	Q9NZH7	/data/Dutta_lab/aric/EA/SeqId_14149_9.PHENO1.glm.linear	2	113052867	ARIC
SeqId_14150_7	IL36A	Q9UHA7	/data/Dutta_lab/aric/EA/SeqId_14150_7.PHENO1.glm.linear	2	113005459	ARIC
SeqId_14151_4	ISG15	P05161	/data/Dutta_lab/aric/EA/SeqId_14151_4.PHENO1.glm.linear	1	1001138	ARIC
SeqId_14153_8	EFNA3	P52797	/data/Dutta_lab/aric/EA/SeqId_14153_8.PHENO1.glm.linear	1	155078837	ARIC
SeqId_14156_33	YWHAB	P31946	/data/Dutta_lab/aric/EA/SeqId_14156_33.PHENO1.glm.linear	20	44885702	ARIC
SeqId_14157_21	YWHAE	P62258	/data/Dutta_lab/aric/EA/SeqId_14157_21.PHENO1.glm.linear	17	1361294	ARIC
SeqId_14158_17	ANXA5	P08758	/data/Dutta_lab/aric/EA/SeqId_14158_17.PHENO1.glm.linear	4	121672558	ARIC
SeqId_14175_78	SCP2D1	Q9UJQ7	/data/Dutta_lab/aric/EA/SeqId_14175_78.PHENO1.glm.linear	20	18813783	ARIC
SeqId_14178_18	CDKN3	Q16667	/data/Dutta_lab/aric/EA/SeqId_14178_18.PHENO1.glm.linear	14	54396849	ARIC
SeqId_14186_13	RFFL	Q8WZ73	/data/Dutta_lab/aric/EA/SeqId_14186_13.PHENO1.glm.linear	17	35008232	ARIC
SeqId_14192_31	PDCL2	Q8N4E4	/data/Dutta_lab/aric/EA/SeqId_14192_31.PHENO1.glm.linear	4	55592245	ARIC
SeqId_14197_2	PRDM1	O75626	/data/Dutta_lab/aric/EA/SeqId_14197_2.PHENO1.glm.linear	6	105993463	ARIC
SeqId_14203_3	ANXA7	P20073	/data/Dutta_lab/aric/EA/SeqId_14203_3.PHENO1.glm.linear	10	73378958	ARIC
SeqId_14204_55	FOXJ2	Q9P0K8	/data/Dutta_lab/aric/EA/SeqId_14204_55.PHENO1.glm.linear	12	8032716	ARIC
SeqId_14205_6	HEXIM2	Q96MH2	/data/Dutta_lab/aric/EA/SeqId_14205_6.PHENO1.glm.linear	17	45160700	ARIC
SeqId_14206_28	APBB1	O00213	/data/Dutta_lab/aric/EA/SeqId_14206_28.PHENO1.glm.linear	11	6396574	ARIC
SeqId_14208_3	RBP7	Q96R05	/data/Dutta_lab/aric/EA/SeqId_14208_3.PHENO1.glm.linear	1	9997206	ARIC
SeqId_14216_35	DDX46	Q7L014	/data/Dutta_lab/aric/EA/SeqId_14216_35.PHENO1.glm.linear	5	134758771	ARIC
SeqId_14226_120	BHMT2	Q9H2M3	/data/Dutta_lab/aric/EA/SeqId_14226_120.PHENO1.glm.linear	5	79069767	ARIC
SeqId_14227_21	MYL6B	P14649	/data/Dutta_lab/aric/EA/SeqId_14227_21.PHENO1.glm.linear	12	56152256	ARIC
SeqId_14229_5	MOCS3	O95396	/data/Dutta_lab/aric/EA/SeqId_14229_5.PHENO1.glm.linear	20	50958818	ARIC
SeqId_14245_195	SNX7	Q9UNH6	/data/Dutta_lab/aric/EA/SeqId_14245_195.PHENO1.glm.linear	1	98661701	ARIC
SeqId_14246_50	DOK2	O60496	/data/Dutta_lab/aric/EA/SeqId_14246_50.PHENO1.glm.linear	8	21911075	ARIC
SeqId_14250_115	BLMH	Q13867	/data/Dutta_lab/aric/EA/SeqId_14250_115.PHENO1.glm.linear	17	30250283	ARIC
SeqId_14254_27	PTPN4	P29074	/data/Dutta_lab/aric/EA/SeqId_14254_27.PHENO1.glm.linear	2	119759922	ARIC
SeqId_14260_112	NET1	Q7Z628	/data/Dutta_lab/aric/EA/SeqId_14260_112.PHENO1.glm.linear	10	5412557	ARIC
SeqId_14268_4	SRXN1	Q9BYN0	/data/Dutta_lab/aric/EA/SeqId_14268_4.PHENO1.glm.linear	20	653370	ARIC
SeqId_14271_23	RAB6B	Q9NRW1	/data/Dutta_lab/aric/EA/SeqId_14271_23.PHENO1.glm.linear	3	133894719	ARIC
SeqId_14273_19	PREP	P48147	/data/Dutta_lab/aric/EA/SeqId_14273_19.PHENO1.glm.linear	6	105323768	ARIC
SeqId_14283_12	RAB14	P61106	/data/Dutta_lab/aric/EA/SeqId_14283_12.PHENO1.glm.linear	9	121201869	ARIC
SeqId_14286_2	NFATC1	O95644	/data/Dutta_lab/aric/EA/SeqId_14286_2.PHENO1.glm.linear	18	79395856	ARIC
SeqId_14287_6	RAB5C	P51148	/data/Dutta_lab/aric/EA/SeqId_14287_6.PHENO1.glm.linear	17	42128759	ARIC
SeqId_14291_53	AGAP2	Q99490	/data/Dutta_lab/aric/EA/SeqId_14291_53.PHENO1.glm.linear	12	57731829	ARIC
SeqId_14294_61	MBD1	Q9UIS9	/data/Dutta_lab/aric/EA/SeqId_14294_61.PHENO1.glm.linear	18	50273063	ARIC
SeqId_14309_8	HNRNPH1	P31943	/data/Dutta_lab/aric/EA/SeqId_14309_8.PHENO1.glm.linear	5	179616287	ARIC
SeqId_14314_6	PPIL2	Q13356	/data/Dutta_lab/aric/EA/SeqId_14314_6.PHENO1.glm.linear	22	21666009	ARIC
SeqId_14318_1	VPS29	Q9UBQ0	/data/Dutta_lab/aric/EA/SeqId_14318_1.PHENO1.glm.linear	12	110496217	ARIC
SeqId_14324_52	SMC3	Q9UQE7	/data/Dutta_lab/aric/EA/SeqId_14324_52.PHENO1.glm.linear	10	110567691	ARIC
SeqId_14326_4	UBE2E1	P51965	/data/Dutta_lab/aric/EA/SeqId_14326_4.PHENO1.glm.linear	3	23805955	ARIC
SeqId_14329_4	DIDO1	Q9BTC0	/data/Dutta_lab/aric/EA/SeqId_14329_4.PHENO1.glm.linear	20	62914406	ARIC
SeqId_14331_262	DYNLT1	P63172	/data/Dutta_lab/aric/EA/SeqId_14331_262.PHENO1.glm.linear	6	158642788	ARIC
SeqId_14332_3	RALA	P11233	/data/Dutta_lab/aric/EA/SeqId_14332_3.PHENO1.glm.linear	7	39623565	ARIC
SeqId_14334_3	RCVRN	P35243	/data/Dutta_lab/aric/EA/SeqId_14334_3.PHENO1.glm.linear	17	9901202	ARIC
SeqId_14337_1	TRAPPC3	O43617	/data/Dutta_lab/aric/EA/SeqId_14337_1.PHENO1.glm.linear	1	36140998	ARIC
SeqId_14341_8	FAM69C	Q0P6D2	/data/Dutta_lab/aric/EA/SeqId_14341_8.PHENO1.glm.linear	18	74457268	ARIC
SeqId_14583_49	MSTN	O14793	/data/Dutta_lab/aric/EA/SeqId_14583_49.PHENO1.glm.linear	2	190062729	ARIC
SeqId_14587_16	GDF11	O95390	/data/Dutta_lab/aric/EA/SeqId_14587_16.PHENO1.glm.linear	12	55743122	ARIC
SeqId_14593_152	FAM210A	Q96ND0	/data/Dutta_lab/aric/EA/SeqId_14593_152.PHENO1.glm.linear	18	13671939	ARIC
SeqId_14597_5	SEMA6C	Q9H3T2	/data/Dutta_lab/aric/EA/SeqId_14597_5.PHENO1.glm.linear	1	151132868	ARIC
SeqId_14599_18	STAB1	Q9NY15	/data/Dutta_lab/aric/EA/SeqId_14599_18.PHENO1.glm.linear	3	52495338	ARIC
SeqId_14603_51	KIAA0040	Q15053	/data/Dutta_lab/aric/EA/SeqId_14603_51.PHENO1.glm.linear	1	175166741	ARIC
SeqId_14614_41	NCMAP	Q5T1S8	/data/Dutta_lab/aric/EA/SeqId_14614_41.PHENO1.glm.linear	1	24556087	ARIC
SeqId_14615_46	KRTAP2-4	Q9BYR9	/data/Dutta_lab/aric/EA/SeqId_14615_46.PHENO1.glm.linear	17	41065879	ARIC
SeqId_14616_16	ZNF382	Q96SR6	/data/Dutta_lab/aric/EA/SeqId_14616_16.PHENO1.glm.linear	19	36604817	ARIC
SeqId_14618_26	VOPP1	Q96AW1	/data/Dutta_lab/aric/EA/SeqId_14618_26.PHENO1.glm.linear	7	55516077	ARIC
SeqId_14619_8	ZNF526	Q8TF50	/data/Dutta_lab/aric/EA/SeqId_14619_8.PHENO1.glm.linear	19	42220312	ARIC
SeqId_14623_26	SUMO3	P55854	/data/Dutta_lab/aric/EA/SeqId_14623_26.PHENO1.glm.linear	21	44817968	ARIC
SeqId_14624_51	CTCF	P49711	/data/Dutta_lab/aric/EA/SeqId_14624_51.PHENO1.glm.linear	16	67562467	ARIC
SeqId_14628_72	FBXO3	Q9UK99	/data/Dutta_lab/aric/EA/SeqId_14628_72.PHENO1.glm.linear	11	33748812	ARIC
SeqId_14631_22	DUSP16	Q9BY84	/data/Dutta_lab/aric/EA/SeqId_14631_22.PHENO1.glm.linear	12	12506187	ARIC
SeqId_14634_13	LHCGR	P22888	/data/Dutta_lab/aric/EA/SeqId_14634_13.PHENO1.glm.linear	2	48723514	ARIC
SeqId_14636_25	HRSP12	P52758	/data/Dutta_lab/aric/EA/SeqId_14636_25.PHENO1.glm.linear	8	98106631	ARIC
SeqId_14645_253	GSTA4	O15217	/data/Dutta_lab/aric/EA/SeqId_14645_253.PHENO1.glm.linear	6	52988002	ARIC
SeqId_14655_1	DNAJC17	Q9NVM6	/data/Dutta_lab/aric/EA/SeqId_14655_1.PHENO1.glm.linear	15	40770289	ARIC
SeqId_14662_6	MZF1	P28698	/data/Dutta_lab/aric/EA/SeqId_14662_6.PHENO1.glm.linear	19	58564613	ARIC
SeqId_14663_44	RNF8	O76064	/data/Dutta_lab/aric/EA/SeqId_14663_44.PHENO1.glm.linear	6	37353979	ARIC
SeqId_14670_1	SKIL	P12757	/data/Dutta_lab/aric/EA/SeqId_14670_1.PHENO1.glm.linear	3	170357678	ARIC
SeqId_14674_63	PACSIN3	Q9UKS6	/data/Dutta_lab/aric/EA/SeqId_14674_63.PHENO1.glm.linear	11	47179225	ARIC
SeqId_14675_20	EIF4B	P23588	/data/Dutta_lab/aric/EA/SeqId_14675_20.PHENO1.glm.linear	12	53006158	ARIC
SeqId_14684_17	CAPN2	P17655	/data/Dutta_lab/aric/EA/SeqId_14684_17.PHENO1.glm.linear	1	223701593	ARIC
SeqId_14685_17	AKT2	P31751	/data/Dutta_lab/aric/EA/SeqId_14685_17.PHENO1.glm.linear	19	40235958	ARIC
SeqId_14687_6	PLIN3	O60664	/data/Dutta_lab/aric/EA/SeqId_14687_6.PHENO1.glm.linear	19	4859636	ARIC
SeqId_14688_6	PTPN7	P35236	/data/Dutta_lab/aric/EA/SeqId_14688_6.PHENO1.glm.linear	1	202158569	ARIC
SeqId_14689_3	SEC13	P55735	/data/Dutta_lab/aric/EA/SeqId_14689_3.PHENO1.glm.linear	3	10305072	ARIC
SeqId_14692_3	ZNF276	Q8N554	/data/Dutta_lab/aric/EA/SeqId_14692_3.PHENO1.glm.linear	16	89720400	ARIC
SeqId_14708_59	C8G	P07360	/data/Dutta_lab/aric/EA/SeqId_14708_59.PHENO1.glm.linear	9	136945185	ARIC
SeqId_14711_27	CST6	Q15828	/data/Dutta_lab/aric/EA/SeqId_14711_27.PHENO1.glm.linear	11	66012008	ARIC
SeqId_14713_46	AZU1	P20160	/data/Dutta_lab/aric/EA/SeqId_14713_46.PHENO1.glm.linear	19	825097	ARIC
SeqId_14747_9	CRLF1	O75462	/data/Dutta_lab/aric/EA/SeqId_14747_9.PHENO1.glm.linear	19	18594134	ARIC
SeqId_14748_31	ARHGAP5	Q13017	/data/Dutta_lab/aric/EA/SeqId_14748_31.PHENO1.glm.linear	14	32076114	ARIC
SeqId_15297_3	S100A3	P33764	/data/Dutta_lab/aric/EA/SeqId_15297_3.PHENO1.glm.linear	1	153549126	ARIC
SeqId_15298_199	NETO1	Q8TDF5	/data/Dutta_lab/aric/EA/SeqId_15298_199.PHENO1.glm.linear	18	72749038	ARIC
SeqId_15299_102	MESDC2	Q14696	/data/Dutta_lab/aric/EA/SeqId_15299_102.PHENO1.glm.linear	15	80978813	ARIC
SeqId_15300_66	CCDC134	Q9H6E4	/data/Dutta_lab/aric/EA/SeqId_15300_66.PHENO1.glm.linear	22	41800679	ARIC
SeqId_15301_24	ACRV1	P26436	/data/Dutta_lab/aric/EA/SeqId_15301_24.PHENO1.glm.linear	11	125680831	ARIC
SeqId_15303_63	S100A5	P33763	/data/Dutta_lab/aric/EA/SeqId_15303_63.PHENO1.glm.linear	1	153540694	ARIC
SeqId_15304_1	REG3A	Q06141	/data/Dutta_lab/aric/EA/SeqId_15304_1.PHENO1.glm.linear	2	79159744	ARIC
SeqId_15305_7	SCGN	O76038	/data/Dutta_lab/aric/EA/SeqId_15305_7.PHENO1.glm.linear	6	25652201	ARIC
SeqId_15306_20	IGJ	P01591	/data/Dutta_lab/aric/EA/SeqId_15306_20.PHENO1.glm.linear	4	70666508	ARIC
SeqId_15308_108	VWC2	Q2TAL6	/data/Dutta_lab/aric/EA/SeqId_15308_108.PHENO1.glm.linear	7	49773638	ARIC
SeqId_15310_61	PRC1	O43663	/data/Dutta_lab/aric/EA/SeqId_15310_61.PHENO1.glm.linear	15	90970427	ARIC
SeqId_15312_14	AGO1	Q9UL18	/data/Dutta_lab/aric/EA/SeqId_15312_14.PHENO1.glm.linear	1	35869808	ARIC
SeqId_15313_28	MAD2L1	Q13257	/data/Dutta_lab/aric/EA/SeqId_15313_28.PHENO1.glm.linear	4	120061036	ARIC
SeqId_15314_49	CLIC4	Q9Y696	/data/Dutta_lab/aric/EA/SeqId_15314_49.PHENO1.glm.linear	1	24745382	ARIC
SeqId_15315_64	CUTC	Q9NTM9	/data/Dutta_lab/aric/EA/SeqId_15315_64.PHENO1.glm.linear	10	99702558	ARIC
SeqId_15316_262	TXNL4B	Q9NX01	/data/Dutta_lab/aric/EA/SeqId_15316_262.PHENO1.glm.linear	16	72093552	ARIC
SeqId_15318_75	S100A10	P60903	/data/Dutta_lab/aric/EA/SeqId_15318_75.PHENO1.glm.linear	1	151992578	ARIC
SeqId_15319_226	CCNA1	P78396	/data/Dutta_lab/aric/EA/SeqId_15319_226.PHENO1.glm.linear	13	36431520	ARIC
SeqId_15321_8	CPLX2	Q6PUV4	/data/Dutta_lab/aric/EA/SeqId_15321_8.PHENO1.glm.linear	5	175796310	ARIC
SeqId_15322_35	CRADD	P78560	/data/Dutta_lab/aric/EA/SeqId_15322_35.PHENO1.glm.linear	12	93677375	ARIC
SeqId_15323_112	AGO3	Q9H9G7	/data/Dutta_lab/aric/EA/SeqId_15323_112.PHENO1.glm.linear	1	35930718	ARIC
SeqId_15324_58	FTL	P02792	/data/Dutta_lab/aric/EA/SeqId_15324_58.PHENO1.glm.linear	19	48965309	ARIC
SeqId_15325_14	GAP43	P17677	/data/Dutta_lab/aric/EA/SeqId_15325_14.PHENO1.glm.linear	3	115623324	ARIC
SeqId_15326_64	GBP1	P32455	/data/Dutta_lab/aric/EA/SeqId_15326_64.PHENO1.glm.linear	1	89055341	ARIC
SeqId_15329_167	ROBLD3	Q9Y2Q5	/data/Dutta_lab/aric/EA/SeqId_15329_167.PHENO1.glm.linear	1	156054782	ARIC
SeqId_15331_47	RBBP4	Q09028	/data/Dutta_lab/aric/EA/SeqId_15331_47.PHENO1.glm.linear	1	32651142	ARIC
SeqId_15333_11	SDF2	Q99470	/data/Dutta_lab/aric/EA/SeqId_15333_11.PHENO1.glm.linear	17	28655335	ARIC
SeqId_15336_7	SELM	Q8WWX9	/data/Dutta_lab/aric/EA/SeqId_15336_7.PHENO1.glm.linear	22	31105764	ARIC
SeqId_15343_337	KNG1	P01042	/data/Dutta_lab/aric/EA/SeqId_15343_337.PHENO1.glm.linear	3	186717348	ARIC
SeqId_15346_31	IFNG	P01579	/data/Dutta_lab/aric/EA/SeqId_15346_31.PHENO1.glm.linear	12	68159740	ARIC
SeqId_15347_12	HPX	P02790	/data/Dutta_lab/aric/EA/SeqId_15347_12.PHENO1.glm.linear	11	6432319	ARIC
SeqId_15358_28	SCG5	P05408	/data/Dutta_lab/aric/EA/SeqId_15358_28.PHENO1.glm.linear	15	32641676	ARIC
SeqId_15361_37	ANKRD1	Q15327	/data/Dutta_lab/aric/EA/SeqId_15361_37.PHENO1.glm.linear	10	90921276	ARIC
SeqId_15363_32	APOA5	Q6Q788	/data/Dutta_lab/aric/EA/SeqId_15363_32.PHENO1.glm.linear	11	116791871	ARIC
SeqId_15364_101	APOC1	P02654	/data/Dutta_lab/aric/EA/SeqId_15364_101.PHENO1.glm.linear	19	44914247	ARIC
SeqId_15365_41	BAI3	O60242	/data/Dutta_lab/aric/EA/SeqId_15365_41.PHENO1.glm.linear	6	68635282	ARIC
SeqId_15367_38	BPIFB1	Q8TDL5	/data/Dutta_lab/aric/EA/SeqId_15367_38.PHENO1.glm.linear	20	33273480	ARIC
SeqId_15368_3	BMPER	Q8N8U9	/data/Dutta_lab/aric/EA/SeqId_15368_3.PHENO1.glm.linear	7	33904308	ARIC
SeqId_15370_5	BOLA1	Q9Y3E2	/data/Dutta_lab/aric/EA/SeqId_15370_5.PHENO1.glm.linear	1	149887890	ARIC
SeqId_15372_43	BRD2	P25440	/data/Dutta_lab/aric/EA/SeqId_15372_43.PHENO1.glm.linear	6	32968594	ARIC
SeqId_15374_15	GKN1	Q9NS71	/data/Dutta_lab/aric/EA/SeqId_15374_15.PHENO1.glm.linear	2	68974573	ARIC
SeqId_15375_49	CPB1	P15086	/data/Dutta_lab/aric/EA/SeqId_15375_49.PHENO1.glm.linear	3	148791102	ARIC
SeqId_15376_134	CTSE	P14091	/data/Dutta_lab/aric/EA/SeqId_15376_134.PHENO1.glm.linear	1	206014130	ARIC
SeqId_15381_45	DDR2	Q16832	/data/Dutta_lab/aric/EA/SeqId_15381_45.PHENO1.glm.linear	1	162631373	ARIC
SeqId_15383_200	EDN3	P14138	/data/Dutta_lab/aric/EA/SeqId_15383_200.PHENO1.glm.linear	20	59300443	ARIC
SeqId_15384_15	KL	Q9UEF7	/data/Dutta_lab/aric/EA/SeqId_15384_15.PHENO1.glm.linear	13	33016423	ARIC
SeqId_15385_116	FABP2	P12104	/data/Dutta_lab/aric/EA/SeqId_15385_116.PHENO1.glm.linear	4	119322138	ARIC
SeqId_15386_7	FABP4	P15090	/data/Dutta_lab/aric/EA/SeqId_15386_7.PHENO1.glm.linear	8	81479970	ARIC
SeqId_15387_44	NRP2	O60462	/data/Dutta_lab/aric/EA/SeqId_15387_44.PHENO1.glm.linear	2	205681990	ARIC
SeqId_15388_24	FCGR3A	P08637	/data/Dutta_lab/aric/EA/SeqId_15388_24.PHENO1.glm.linear	1	161549730	ARIC
SeqId_15389_1	FXN	Q16595	/data/Dutta_lab/aric/EA/SeqId_15389_1.PHENO1.glm.linear	9	69035563	ARIC
SeqId_15390_3	GAL	P22466	/data/Dutta_lab/aric/EA/SeqId_15390_3.PHENO1.glm.linear	11	68683779	ARIC
SeqId_15391_114	GAS6	Q14393	/data/Dutta_lab/aric/EA/SeqId_15391_114.PHENO1.glm.linear	13	113823194	ARIC
SeqId_15394_79	UNC5B	Q8IZJ1	/data/Dutta_lab/aric/EA/SeqId_15394_79.PHENO1.glm.linear	10	71212570	ARIC
SeqId_15395_15	GSTM1	P09488	/data/Dutta_lab/aric/EA/SeqId_15395_15.PHENO1.glm.linear	1	109687814	ARIC
SeqId_15398_2	GFER	P55789	/data/Dutta_lab/aric/EA/SeqId_15398_2.PHENO1.glm.linear	16	1984193	ARIC
SeqId_15402_2	ID1	P41134	/data/Dutta_lab/aric/EA/SeqId_15402_2.PHENO1.glm.linear	20	31605283	ARIC
SeqId_15403_53	ID2	Q02363	/data/Dutta_lab/aric/EA/SeqId_15403_53.PHENO1.glm.linear	2	8678845	ARIC
SeqId_15404_3	IFNA21	P01568	/data/Dutta_lab/aric/EA/SeqId_15404_3.PHENO1.glm.linear	9	21166660	ARIC
SeqId_15405_23	IFNA4	P05014	/data/Dutta_lab/aric/EA/SeqId_15405_23.PHENO1.glm.linear	9	21187671	ARIC
SeqId_15412_40	BIRC7	Q96CA5	/data/Dutta_lab/aric/EA/SeqId_15412_40.PHENO1.glm.linear	20	63235883	ARIC
SeqId_15413_3	LCAT	P04180	/data/Dutta_lab/aric/EA/SeqId_15413_3.PHENO1.glm.linear	16	67942458	ARIC
SeqId_15414_316	LDHA	P00338	/data/Dutta_lab/aric/EA/SeqId_15414_316.PHENO1.glm.linear	11	18394560	ARIC
SeqId_15416_54	LYG2	Q86SG7	/data/Dutta_lab/aric/EA/SeqId_15416_54.PHENO1.glm.linear	2	99254281	ARIC
SeqId_15417_3	SERPINB5	P36952	/data/Dutta_lab/aric/EA/SeqId_15417_3.PHENO1.glm.linear	18	63476958	ARIC
SeqId_15418_25	MAPK10	P53779	/data/Dutta_lab/aric/EA/SeqId_15418_25.PHENO1.glm.linear	4	86003704	ARIC
SeqId_15419_15	MMP20	O60882	/data/Dutta_lab/aric/EA/SeqId_15419_15.PHENO1.glm.linear	11	102583607	ARIC
SeqId_15422_12	PMP2	P02689	/data/Dutta_lab/aric/EA/SeqId_15422_12.PHENO1.glm.linear	8	81447439	ARIC
SeqId_15426_5	NEU1	Q99519	/data/Dutta_lab/aric/EA/SeqId_15426_5.PHENO1.glm.linear	6	31862796	ARIC
SeqId_15427_35	LOXL3	P58215	/data/Dutta_lab/aric/EA/SeqId_15427_35.PHENO1.glm.linear	2	74549459	ARIC
SeqId_15430_165	OPTC	Q9UBM4	/data/Dutta_lab/aric/EA/SeqId_15430_165.PHENO1.glm.linear	1	203494153	ARIC
SeqId_15432_1	OTOR	Q9NRC9	/data/Dutta_lab/aric/EA/SeqId_15432_1.PHENO1.glm.linear	20	16748358	ARIC
SeqId_15433_4	SRC	P12931	/data/Dutta_lab/aric/EA/SeqId_15433_4.PHENO1.glm.linear	20	37344685	ARIC
SeqId_15434_5	PNOC	Q13519	/data/Dutta_lab/aric/EA/SeqId_15434_5.PHENO1.glm.linear	8	28316986	ARIC
SeqId_15435_4	PNP	P00491	/data/Dutta_lab/aric/EA/SeqId_15435_4.PHENO1.glm.linear	14	20468954	ARIC
SeqId_15436_40	RAMP1	O60894	/data/Dutta_lab/aric/EA/SeqId_15436_40.PHENO1.glm.linear	2	237858893	ARIC
